epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,290.232,0.29334,0.94575,1,0.14075,0.000554555,0.000554555,0.000554555
2,612.375,0.17417,0.9465,1,0.15922,0.00105527,0.00105527,0.00105527
3,946.728,0.18201,0.95675,1,0.10878,0.00150097,0.00150097,0.00150097
4,1284.47,0.14258,0.96075,1,0.10174,0.00141945,0.00141945,0.00141945
